"Shipping Methods","Méthodes de livraison"
"Select Shipping Method","Sélectionnez une méthode de livraison"
"Free","Gratuit"
"Delivery Time","Temps de livraison"
"Estimated delivery","Livraison estimée"
"24-48h","24-48h"
"3-5 jours","3-5 jours"
"2-4 jours","2-4 jours"
"Retrait immédiat","Retrait immédiat"
"Home Delivery","Livraison à domicile"
"Store Pickup","Retrait en magasin"
"Express Delivery","Livraison express"
"Standard Delivery","Livraison standard"
"Gift Card","Carte Cadeau"
"Apply Gift Card","Appliquer une carte cadeau"
"Enter your gift card code","Entrez votre code de carte cadeau"
"Apply","Appliquer"
"Cancel","Annuler"
"Remove","Retirer"
"Checking...","Vérification en cours..."
"Applying...","Application en cours..."
"Please enter a gift card code","Veuillez saisir un code de carte cadeau"
"Invalid gift card code","Code de carte cadeau invalide"
"Gift card applied successfully","Carte cadeau appliquée avec succès"
"Gift card removed","Carte cadeau retirée"
"Balance: %1","Solde : %1"
"Applied: %1","Appliqué : %1"
"Current Balance","Solde actuel"
"Applied Amount","Montant appliqué"
"Code","Code"
"Amount","Montant"
"Actions","Actions"
"Shipping Address","Adresse de livraison"
"Country","Pays"
"Algeria","Algérie"
"Wilaya","Wilaya"
"Commune","Commune"
"Select wilaya","Sélectionnez une wilaya"
"Select commune","Sélectionnez une commune"
"Street Address","Adresse"
"Postal Code","Code postal"
"Phone Number","Numéro de téléphone"
"First Name","Prénom"
"Last Name","Nom"
"Continue","Continuer"
"Back","Retour"
"Next","Suivant"
"Place Order","Passer la commande"
"Review & Payments","Révision et paiements"
"Order Summary","Récapitulatif de la commande"
"Cart Subtotal","Sous-total du panier"
"Shipping","Livraison"
"Tax","Taxe"
"Grand Total","Total général"
"Items in Cart","Articles dans le panier"
"Edit","Modifier"
"Update","Mettre à jour"
"Delete","Supprimer"
"Qty","Qté"
"Price","Prix"
"Subtotal","Sous-total"
"Proceed to Checkout","Passer à la caisse"
"Continue Shopping","Continuer mes achats"
"Your cart is empty","Votre panier est vide"
"Add products to cart","Ajoutez des produits au panier"
"Loading...","Chargement..."
"Please wait...","Veuillez patienter..."
"Error","Erreur"
"Success","Succès"
"Warning","Avertissement"
"Information","Information"
"Required field","Champ obligatoire"
"Invalid format","Format invalide"
"Please select","Veuillez sélectionner"
"Please enter","Veuillez saisir"
