"File to Import","Fichier à importer"
"Select File","Sélectionner un fichier"
"Download Sample File","Télécharger le fichier exemple"
"Save and Continue Edit","Enregistrer et continuer l'édition"
Duplicate,Dupliquer
"Edit Method ""%1""","Modifier la méthode ""%1"""
"New Method","Nouvelle méthode"
ID,ID
Name,Nom
All,Tous
Country,Pays
"State/Region","Région/Wilaya"
"Zip/Post code","Code postal"
Weight,Poids
Price,Prix
"# of Items","Nombre d'articles"
"Shipping Group","Groupe d'expédition"
"Product Fixed Rate","Tarif fixe par produit"
"Product Percentage Rate","Tarif en pourcentage par produit"
"Weight Fixed Rate","Tarif fixe par poids"
"Order Fixed Rate","Tarif fixe par commande"
"Estimated Delivery Days","Jours de livraison estimés"
Labels,Libellés
Label,Libellé
Description,Description
General,Général
"You can use variable {{delivery_days}} to show the estimated delivery days on the shipping method's name on the storefront.","Vous pouvez utiliser la variable {{delivery_days}} pour afficher les jours de livraison estimés dans le nom de la méthode d'expédition sur la boutique."
"Internal Note","Note interne"
Status,Statut
"Calculation Shipping Rate Rule","Règle de calcul des frais d'expédition"
"Select how to calculate shipping fee for cart with different shipping rates.","Sélectionnez comment calculer les frais d'expédition pour un panier avec différents tarifs d'expédition."
Image,Image
"The image is shown before the shipping method at the backend and frontend.","L'image est affichée avant la méthode d'expédition dans le backend et le frontend."
"Store View(s)","Vue(s) boutique"
"Customer Group(s)","Groupe(s) de clients"
Conditions,Conditions
"Is Zip/Postcode Range","Est une plage de codes postaux"
"Zip/Postcode From","Code postal de"
"Weight From","Poids de"
"Price From","Prix de"
"Qty From","Quantité de"
here,ici
"Also shown on product edit page. To add the options, please go to settings %1.","Également affiché sur la page d'édition du produit. Pour ajouter les options, veuillez aller dans les paramètres %1."
Settings,Paramètres
"The fixed rate for each product in the cart","Le tarif fixe pour chaque produit dans le panier"
"The percentage of each product price, based on which the rate is counted","Le pourcentage de chaque prix de produit, sur lequel le tarif est calculé"
"Weight Unit Fixed Rate","Tarif fixe par unité de poids"
"The fixed rate for each weight unit","Le tarif fixe pour chaque unité de poids"
"The fixed rate for the whole order","Le tarif fixe pour toute la commande"
"Estimated Delivery Time","Délai de livraison estimé"
days,jours
Action,Action
CSV,CSV
Delete,Supprimer
"Method Information","Informations sur la méthode"
Information,Informations
"Shipping Rates","Tarifs d'expédition"
Edit,Modifier
"You have added %1 record(s)","Vous avez ajouté %1 enregistrement(s)"
"%1 error(s)","%1 erreur(s)"
"The method has been deleted.","La méthode a été supprimée."
"We can't delete the method right now.","Nous ne pouvons pas supprimer la méthode maintenant."
"We can't find a method to delete.","Nous ne trouvons pas de méthode à supprimer."
"The method has been duplicated.","La méthode a été dupliquée."
"This method no longer exists.","Cette méthode n'existe plus."
"Create New Method","Créer une nouvelle méthode"
"A total of %1 rate(s) have been imported.","Un total de %1 tarif(s) ont été importés."
"Shipping Methods","Méthodes d'expédition"
"Please correct the data sent.","Veuillez corriger les données envoyées."
"Something went wrong while saving the method.","Une erreur s'est produite lors de l'enregistrement de la méthode."
"Something went wrong while deleting the record(s).","Une erreur s'est produite lors de la suppression des enregistrements."
"A total of %1 record(s) have been deleted.","Un total de %1 enregistrement(s) ont été supprimés."
"Something went wrong while updating the record(s) status.","Une erreur s'est produite lors de la mise à jour du statut des enregistrements."
"A total of %1 record(s) have been updated.","Un total de %1 enregistrement(s) ont été mis à jour."
"The rate has been saved","Le tarif a été enregistré"
