"Add to Cart","Ajouter au Panier"
"Add to Wishlist","Ajouter à la Liste de Souhaits"
"Add to Compare","Ajouter à la Comparaison"
"Quick View","Aperçu Rapide"
"View Details","Voir les Détails"
"Out of Stock","Rupture de Stock"
"In Stock","En Stock"
"Price","Prix"
"Special Price","Prix Spécial"
"Regular Price","Prix Régulier"
"Save %1","Économisez %1"
"Free Shipping","Livraison Gratuite"
"Search","Rechercher"
"Search entire store here...","Rechercher dans tout le magasin..."
"My Account","Mon Compte"
"Sign In","Se Connecter"
"Create an Account","Créer un Compte"
"Checkout","Commander"
"Shopping Cart","Panier d'Achat"
"Wishlist","Liste de Souhaits"
"Compare Products","Comparer les Produits"
"Newsletter","Newsletter"
"Subscribe","S'abonner"
"Contact Us","Nous Contacter"
"About Us","À Propos de Nous"
"Privacy Policy","Politique de Confidentialité"
"Terms and Conditions","Conditions Générales"
"Customer Service","Service Client"
"Return Policy","Politique de Retour"
"Shipping Information","Informations de Livraison"
"Payment Methods","Méthodes de Paiement"
"Size Guide","Guide des Tailles"
"Product Reviews","Avis sur le Produit"
"Write a Review","Écrire un Avis"
"Rating","Évaluation"
"Quality","Qualité"
"Value","Valeur"
"Recommended","Recommandé"
"New","Nouveau"
"Sale","Solde"
"Best Seller","Meilleure Vente"
"Featured","En Vedette"
"Categories","Catégories"
"Brands","Marques"
"Filter","Filtrer"
"Sort By","Trier Par"
"Show","Afficher"
"per page","par page"
"View as","Voir comme"
"List","Liste"
"Grid","Grille"
"Previous","Précédent"
"Next","Suivant"
"First","Premier"
"Last","Dernier"
"Page","Page"
"of","de"
"items","articles"
"Item","Article"
"Items","Articles"
"Product","Produit"
"Products","Produits"
"Category","Catégorie"
"Home","Accueil"
"Back","Retour"
"Continue","Continuer"
"Submit","Soumettre"
"Cancel","Annuler"
"Close","Fermer"
"Save","Enregistrer"
"Edit","Modifier"
"Delete","Supprimer"
"Remove","Retirer"
"Update","Mettre à Jour"
"Refresh","Actualiser"
"Loading...","Chargement..."
"Please wait...","Veuillez patienter..."
"Error","Erreur"
"Success","Succès"
"Warning","Avertissement"
"Information","Information"
"Required field","Champ obligatoire"
"Optional","Optionnel"
"Yes","Oui"
"No","Non"
"Select","Sélectionner"
"Choose","Choisir"
"All","Tout"
"None","Aucun"
"More","Plus"
"Less","Moins"
"Show More","Afficher Plus"
"Show Less","Afficher Moins"
"Read More","Lire Plus"
"Read Less","Lire Moins"

"Shop Now","Acheter Maintenant"
"Discover More","Découvrir Plus"
"Latest Products","Derniers Produits"
"Trending Now","Tendance Maintenant"
"Best Deals","Meilleures Offres"
"Limited Time","Temps Limité"
"Exclusive","Exclusif"
"Premium Quality","Qualité Premium"
"Fast Delivery","Livraison Rapide"
"Secure Payment","Paiement Sécurisé"
"Money Back Guarantee","Garantie de Remboursement"
"24/7 Support","Support 24/7"
"Free Returns","Retours Gratuits"
"Worldwide Shipping","Livraison Mondiale"

"Apply Discount Code","Appliquer un Code de Réduction"
"Enter discount code","Entrez le code de réduction"
"Apply Discount","Appliquer la Réduction"
"Discount Code","Code de Réduction"
"Coupon Code","Code Promo"
