$100.00,$100.00
"%1 (in store's base currency) has been refunded to Gift Card Account(s) %2.","%1 (in store's base currency) has been refunded to Gift Card Account(s) %2."
"%1 (in store's base currency) has been returned to Gift Card Account(s) %2 due to order cancellation","%1 (in store's base currency) has been returned to Gift Card Account(s) %2 due to order cancellation"
"%1 Account(s) has been failed to delete","%1 Account(s) has been failed to delete"
"%1 Account(s) has been successfully deleted","%1 Account(s) has been successfully deleted"
"%1 Code Pool(s) has been failed to delete","%1 Code Pool(s) has been failed to delete"
"%1 Code Pool(s) has been successfully deleted","%1 Code Pool(s) has been successfully deleted"
"%1 Image(s) has been failed to delete","%1 Image(s) has been failed to delete"
"%1 Image(s) has been successfully deleted","%1 Image(s) has been successfully deleted"
"%1 [%2]","%1 [%2]"
"%1 days","%1 days"
%balance,%balance
"%sender_name purchased a","%sender_name purchased a"
"'Create an Account' Checkbox is Checked by Default","'Create an Account' Checkbox is Checked by Default"
"* all orders as well as active and abandoned carts are considered as a quote","* all orders as well as active and abandoned carts are considered as a quote"
"* form is completed if all mandatory fields are filled or, if the form is made up of only optional fields, when at least one field is filled","* form is completed if all mandatory fields are filled or, if the form is made up of only optional fields, when at least one field is filled"
"-- Please Select --","-- Please Select --"
"--Please Select--","--Please Select--"
"1 Column","1 Column"
"2 Columns","2 Columns"
"2 Columns (1 Column with a Fixed Order Summary Sidebar)","2 Columns (1 Column with a Fixed Order Summary Sidebar)"
"3 Columns","3 Columns"
"A total of %1 Gift Card Account(s) were successfully generated.","A total of %1 Gift Card Account(s) were successfully generated."
Ability,Capacité
Accomplished,Accompli
"Account Information","Informations du Compte"
"Account for specified code ""%1"" not found","Account for specified code ""%1"" not found"
"Account with specified ID ""%1"" not found.","Account with specified ID ""%1"" not found."
"Account with the specified ID ""%1"" does not exist","Account with the specified ID ""%1"" does not exist"
"Accounts Qty to Generate","Accounts Qty to Generate"
Achieved,Atteint
Acquired,Acquis
Action,Action
Activated,Activé
Active,Actif
Activity,Activité
Adapted,Adapté
Add,Add
"Add Code","Add Code"
"Add Custom Fields","Add Custom Fields"
"Add Customer Attribute","Add Customer Attribute"
"Add Gift Card","Ajouter une Carte Cadeau"
"Add New","Add New"
"Add Order Attribute","Add Order Attribute"
"Add a comment about your order","Ajouter un commentaire sur votre commande"
"Add a gift message","Add a gift message"
Added,Ajouté
Additional,Additional
"Additional Fields and Other Extras","Additional Fields and Other Extras"
"Additional Options","Additional Options"
"Additional message for Gift Card","Additional message for Gift Card"
"Address Book","Carnet d'Adresses"
"Address Formatting","Address Formatting"
Adjusted,Ajusté
Admin,Admin
Administration,Administration
Advance,Avancer
Advanced,Avancé
Advice,Conseil
"After Placing an Order","After Placing an Order"
Aim,Objectif
Alert,Alerte
All,Tout
"All Customer Groups","All Customer Groups"
"All Store Views","All Store Views"
