"Mab Extensions","Extensions Mab"
"Extensions","Extensions"
"Configuration","Configuration"
"Settings","Paramètres"
"Enable","Activer"
"Disable","Désactiver"
"Enabled","Activé"
"Disabled","Désactivé"
"Status","Statut"
"Active","Actif"
"Inactive","Inactif"
"Default","Par défaut"
"Custom","Personnalisé"
"Advanced","Avancé"
"Basic","Basique"
"General","Général"
"Specific","Spécifique"
"Global","Global"
"Local","Local"
"System","Système"
"User","Utilisateur"
"Admin","Admin"
"Frontend","Frontend"
"Backend","Backend"
"Public","Public"
"Private","Privé"
"Secure","Sécurisé"
"Insecure","Non sécurisé"
"Valid","Valide"
"Invalid","Invalide"
"Required","Requis"
"Optional","Optionnel"
"Recommended","Recommandé"
"Not recommended","Non recommandé"
"Available","Disponible"
"Unavailable","Indisponible"
"Online","En ligne"
"Offline","Hors ligne"
"Connected","Connecté"
"Disconnected","Déconnecté"
"Synchronized","Synchronisé"
"Not synchronized","Non synchronisé"
"Updated","Mis à jour"
"Not updated","Non mis à jour"
"Current","Actuel"
"Previous","Précédent"
"Latest","Dernier"
"Oldest","Plus ancien"
"New","Nouveau"
"Old","Ancien"
"Recent","Récent"
"Past","Passé"
"Future","Futur"
"Present","Présent"
"Today","Aujourd'hui"
"Yesterday","Hier"
"Tomorrow","Demain"
"This week","Cette semaine"
"Last week","La semaine dernière"
"Next week","La semaine prochaine"
"This month","Ce mois-ci"
"Last month","Le mois dernier"
"Next month","Le mois prochain"
"This year","Cette année"
"Last year","L'année dernière"
"Next year","L'année prochaine"
"Always","Toujours"
"Never","Jamais"
"Sometimes","Parfois"
"Often","Souvent"
"Rarely","Rarement"
"Frequently","Fréquemment"
"Occasionally","Occasionnellement"
"Regularly","Régulièrement"
"Irregularly","Irrégulièrement"
"Automatically","Automatiquement"
"Manually","Manuellement"
"Instantly","Instantanément"
"Immediately","Immédiatement"
"Quickly","Rapidement"
"Slowly","Lentement"
"Fast","Rapide"
"Slow","Lent"
"High","Élevé"
"Low","Bas"
"Medium","Moyen"
"Maximum","Maximum"
"Minimum","Minimum"
"Average","Moyenne"
"Total","Total"
"Partial","Partiel"
"Complete","Complet"
"Incomplete","Incomplet"
"Full","Complet"
"Empty","Vide"
"Half","Moitié"
"Quarter","Quart"
"Third","Tiers"
"All","Tout"
"None","Aucun"
"Some","Quelques"
"Many","Beaucoup"
"Few","Peu"
"Several","Plusieurs"
"Multiple","Multiple"
"Single","Unique"
"Double","Double"
"Triple","Triple"
"First","Premier"
"Second","Deuxième"
"Third","Troisième"
"Last","Dernier"
"Final","Final"
"Initial","Initial"
"Original","Original"
"Copy","Copie"
"Duplicate","Dupliquer"
"Clone","Cloner"
"Backup","Sauvegarde"
"Restore","Restaurer"
"Import","Importer"
"Export","Exporter"
"Upload","Télécharger"
"Download","Télécharger"
"Install","Installer"
"Uninstall","Désinstaller"
"Upgrade","Mettre à niveau"
"Downgrade","Rétrograder"
"Migrate","Migrer"
"Transfer","Transférer"
"Move","Déplacer"
"Copy","Copier"
"Paste","Coller"
"Cut","Couper"
"Undo","Annuler"
"Redo","Refaire"
"Reset","Réinitialiser"
"Clear","Effacer"
"Clean","Nettoyer"
"Purge","Purger"
"Flush","Vider"
"Refresh","Actualiser"
"Reload","Recharger"
"Restart","Redémarrer"
"Start","Démarrer"
"Stop","Arrêter"
"Pause","Pause"
"Resume","Reprendre"
"Play","Jouer"
"Record","Enregistrer"
"Capture","Capturer"
"Screenshot","Capture d'écran"
"Print","Imprimer"
"Preview","Aperçu"
"View","Voir"
"Show","Afficher"
"Hide","Masquer"
"Display","Affichage"
"Render","Rendre"
"Generate","Générer"
"Create","Créer"
"Build","Construire"
"Make","Faire"
"Produce","Produire"
"Develop","Développer"
"Design","Concevoir"
"Plan","Planifier"
"Organize","Organiser"
"Arrange","Organiser"
"Sort","Trier"
"Order","Commander"
"Rank","Classer"
"Rate","Évaluer"
"Score","Score"
"Grade","Note"
"Mark","Marquer"
"Tag","Étiqueter"
"Label","Étiquette"
"Name","Nom"
"Title","Titre"
"Heading","En-tête"
"Header","En-tête"
"Footer","Pied de page"
"Sidebar","Barre latérale"
