"State/Region","Région/Wilaya"
"Select Region","Sélectionner la région"
"Select State","Sélectionner la wilaya"
"Select your region","Sélectionnez votre région"
"Select your wilaya","Sélectionnez votre wilaya"
"Region","Région"
"Wilaya","Wilaya"
"Select Wilaya","Sélectionner la Wilaya"
"Choose Wilaya","Choisir la Wilaya"
"All Wilayas","Toutes les Wilayas"
"Shipping Options","Options d'expédition"
"Shipping Method","Méthode d'expédition"
"Shipping Methods","Méthodes d'expédition"
"Select Shipping Method","Sélectionner la méthode d'expédition"
"Choose Shipping Method","Choisir la méthode d'expédition"
"Delivery Method","Méthode de livraison"
"Delivery Options","Options de livraison"
"Select Delivery Method","Sélectionner la méthode de livraison"
"Pickup Options","Options de retrait"
"Pickup Method","Méthode de retrait"
"Select Pickup Method","Sélectionner la méthode de retrait"
"Choose Pickup Location","Choisir le lieu de retrait"
"Pickup Location","Lieu de retrait"
"Pickup Store","Magasin de retrait"
"Select Store","Sélectionner le magasin"
"Choose Store","Choisir le magasin"
"Available Stores","Magasins disponibles"
"Nearby Stores","Magasins à proximité"
"Store Locator","Localisateur de magasins"
"Find a Store","Trouver un magasin"
"Find Stores Near You","Trouver les magasins près de chez vous"
"Search by location","Rechercher par localisation"
"Search Stores","Rechercher des magasins"
"Store Details","Détails du magasin"
"Store Information","Informations sur le magasin"
"Store Name","Nom du magasin"
"Store Address","Adresse du magasin"
"Store Phone","Téléphone du magasin"
"Store Email","E-mail du magasin"
"Store Hours","Horaires du magasin"
"Opening Hours","Horaires d'ouverture"
"Opening Times","Horaires d'ouverture"
"Closed","Fermé"
"Open","Ouvert"
"Open Now","Ouvert maintenant"
"Distance","Distance"
"away","loin"
"Get Directions","Obtenir les directions"
"Directions","Directions"
"Route","Itinéraire"
"Map","Carte"
"View Map","Voir la carte"
"Show on Map","Afficher sur la carte"
"Contact","Contact"
"Contact Us","Nous contacter"
"Contact Information","Informations de contact"
"Phone Number","Numéro de téléphone"
"Email Address","Adresse e-mail"
"Fax Number","Numéro de fax"
"Website","Site web"
"Visit Website","Visiter le site web"
"Address","Adresse"
"Full Address","Adresse complète"
"Street","Rue"
"Street Address","Adresse"
"Address Line 1","Adresse ligne 1"
"Address Line 2","Adresse ligne 2"
"City","Ville"
"Town","Ville"
"Village","Village"
"Postcode","Code postal"
"Postal Code","Code postal"
"ZIP Code","Code postal"
"Country","Pays"
"Country/Region","Pays/Région"
"Select Country","Sélectionner le pays"
"Select Country/Region","Sélectionner le pays/région"
"Province","Province"
"Select Province","Sélectionner la province"
"County","Comté"
"State","État/Région"
"Select State","Sélectionner l'état/région"
"Neighborhood","Quartier"
"District","District"
"Area","Zone"
"Zone","Zone"
"Delivery Zone","Zone de livraison"
"Shipping Zone","Zone d'expédition"
"Service Area","Zone de service"
"Coverage Area","Zone de couverture"
"Free Delivery","Livraison gratuite"
"Free Shipping","Livraison gratuite"
"Free Pickup","Retrait gratuit"
"Free Store Pickup","Retrait gratuit en magasin"
"Store Pickup","Retrait en magasin"
"Pickup In Store","Retrait en magasin"
"Click & Collect","Click & Collect"
"Reserve & Collect","Réserver et retirer"
"Order Pickup","Retrait de commande"
"Collect In Store","Retirer en magasin"
"Pickup Today","Retirer aujourd'hui"
"Ready for Pickup","Prêt à être retiré"
"Ready for Collection","Prêt à être retiré"
"Your order is ready for pickup","Votre commande est prête à être retirée"
"Order Ready for Pickup","Commande prête à être retirée"
"Pickup Date","Date de retrait"
"Pickup Time","Heure de retrait"
"Select Pickup Date","Sélectionner la date de retrait"
"Select Pickup Time","Sélectionner l'heure de retrait"
"Delivery Date","Date de livraison"
"Delivery Time","Heure de livraison"
"Select Delivery Date","Sélectionner la date de livraison"
"Select Delivery Time","Sélectionner l'heure de livraison"
"Estimated Delivery","Livraison estimée"
"Estimated Delivery Time","Délai de livraison estimé"
"Estimated Delivery Date","Date de livraison estimée"
"Delivery Estimate","Estimation de livraison"
"Delivery Information","Informations de livraison"
"Shipping Information","Informations d'expédition"
"Delivery Address","Adresse de livraison"
"Billing Address","Adresse de facturation"
"Ship to","Expédier à"
"Deliver to","Livrer à"
"Deliver","Livrer"
"Ship","Expédier"
"Shipping","Livraison"
"Delivery","Livraison"
"Shipping Cost","Frais de livraison"
"Shipping Fee","Frais d'expédition"
"Delivery Cost","Coût de livraison"
"Delivery Fee","Frais de livraison"
"Shipping Price","Prix d'expédition"
"Shipping Rate","Tarif d'expédition"
"Shipping Rates","Tarifs d'expédition"
"Delivery Rates","Tarifs de livraison"
"Calculate Shipping","Calculer l'expédition"
"Calculate Delivery","Calculer la livraison"
"Calculate Shipping Cost","Calculer les frais d'expédition"
"Calculate Delivery Cost","Calculer les frais de livraison"
"Shipping Calculator","Calculateur d'expédition"
"Delivery Calculator","Calculateur de livraison"
"Update Shipping","Mettre à jour l'expédition"
"Update Delivery","Mettre à jour la livraison"
"Update Shipping Method","Mettre à jour la méthode d'expédition"
"Change Shipping Method","Changer la méthode d'expédition"
"Change Delivery Method","Changer la méthode de livraison"
"Change Pickup Location","Changer le lieu de retrait"
"Change Store","Changer de magasin"
"Continue to Shipping","Continuer vers l'expédition"
"Continue to Delivery","Continuer vers la livraison"
"Continue to Payment","Continuer vers le paiement"
"Continue to Checkout","Continuer vers la commande"
"Proceed to Checkout","Passer à la caisse"
"Checkout","Commander"
"Checkout Now","Commander maintenant"
"View Cart","Voir le panier"
"View Bag","Voir le sac"
"Shopping Cart","Panier"
"Shopping Bag","Sac d'achats"
"Your Cart","Votre panier"
"Your Bag","Votre sac"
"Cart Total","Total du panier"
"Order Total","Total de la commande"
"Order Summary","Résumé de la commande"
"Review Order","Vérifier la commande"
"Review Your Order","Vérifiez votre commande"
"Review & Place Order","Vérifier et passer la commande"
"Place Order","Passer la commande"
"Confirm Order","Confirmer la commande"
"Order Confirmation","Confirmation de commande"
"Order Number","Numéro de commande"
"Order ID","ID de commande"
"Order Date","Date de commande"
"Order Status","Statut de la commande"
"Order History","Historique des commandes"
"Order Details","Détails de la commande"
"Order Notes","Notes de commande"
"Order Comments","Commentaires de commande"
"Order Instructions","Instructions de commande"
"Special Instructions","Instructions spéciales"
"Delivery Instructions","Instructions de livraison"
"Shipping Instructions","Instructions d'expédition"
"Add a note","Ajouter une note"
"Add a message","Ajouter un message"
"Add notes to your order","Ajouter des notes à votre commande"
"Add delivery instructions","Ajouter des instructions de livraison"
"Leave at door","Laisser à la porte"
"Ring doorbell","Sonner à la porte"
"Call on arrival","Appeler à l'arrivée"
"Hand to me","Me remettre en main propre"
"Signature Required","Signature requise"
"No Signature Required","Signature non requise"
"Leave in safe place","Laisser dans un endroit sûr"
"Leave with neighbor","Laisser chez le voisin"
"Leave at reception","Laisser à la réception"
"Delivery Preferences","Préférences de livraison"
"Shipping Preferences","Préférences d'expédition"
"Preferred Delivery Time","Heure de livraison préférée"
"Preferred Pickup Time","Heure de retrait préférée"
"Preferred Contact Method","Méthode de contact préférée"
"Contact Preference","Préférence de contact"
"Contact by Phone","Contacter par téléphone"
"Contact by Email","Contacter par e-mail"
"Contact by SMS","Contacter par SMS"
"Send Order Updates","Envoyer les mises à jour de commande"
"Send Shipping Updates","Envoyer les mises à jour d'expédition"
"Send Delivery Updates","Envoyer les mises à jour de livraison"
"Track Order","Suivre la commande"
"Track Delivery","Suivre la livraison"
"Track Shipment","Suivre l'expédition"
"Track Package","Suivre le colis"
"Tracking Number","Numéro de suivi"
"Tracking Code","Code de suivi"
"Track Your Order","Suivez votre commande"
"Track Your Package","Suivez votre colis"
"Track Your Shipment","Suivez votre expédition"
"Package","Colis"
"Packages","Colis"
"Parcel","Colis"
"Parcels","Colis"
"Shipment","Expédition"
"Shipments","Expéditions"
"Dispatched","Expédié"
"Shipped","Expédié"
"In Transit","En transit"
"On the Way","En cours de route"
"Out for Delivery","En cours de livraison"
"Delivered","Livré"
"Delivery Attempted","Tentative de livraison"
"Failed Delivery","Échec de la livraison"
"Returned","Retourné"
"Return to Sender","Retour à l'expéditeur"
"Pickup Required","Retrait requis"
"Pickup Available","Retrait disponible"
"Ready for Pickup","Prêt à être retiré"
"Awaiting Pickup","En attente de retrait"
"Collected","Retiré"
"Picked Up","Retiré"
"Select Method","Sélectionner la méthode"
"Method Title","Intitulé de la méthode"
"Carrier Title","Intitulé du transporteur"
"Next","Suivant"
