sku,name,country_of_manufacture,description,short_description,weight,additional_attributes,categories,product_type,attribute_set_code,product_websites,product_online,tax_class_name,visibility,price,qty,is_in_stock,variantes,PrepareConfiguration,configurable_variations
1140669840,"PORTE REVUES SAUMON MORANDI ""TECHNO"" REF: 70796",ALGERIA,"Le porte-revues SAUMON MORANDI est la solution parfaite pour garder votre espace organisé. Compatible avec les documents A4, il permet un rangement vertical pratique et gain de place.
 
 Sa structure solide garantit une bonne stabilité, tandis que son design moderne s’intègre harmonieusement dans tout environnement professionnel ou domestique.
 
 - Adapté aux documents A4
 - Structure robuste
 - Gain de place
 - Idéal pour bureau, bibliothèque ou espace d’étude","Porte-revues SAUMON MORANDI, idéal pour organiser magazines, dossiers et documents A4. Design moderne et couleurs élégantes.",0.2625,"mgs_brand=TECHNO,techno_ref=70796,color=SAUMON MORANDI","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1,,"sku=1140669840,color=SAUMON MORANDI",
1140669839,"PORTE REVUES ROSE MORANDI ""TECHNO"" REF: 70795",ALGERIA,"Le porte-revues ROSE MORANDI est la solution parfaite pour garder votre espace organisé. Compatible avec les documents A4, il permet un rangement vertical pratique et gain de place.
 
 Sa structure solide garantit une bonne stabilité, tandis que son design moderne s’intègre harmonieusement dans tout environnement professionnel ou domestique.
 
 - Adapté aux documents A4
 - Structure robuste
 - Gain de place
 - Idéal pour bureau, bibliothèque ou espace d’étude","Porte-revues ROSE MORANDI, idéal pour organiser magazines, dossiers et documents A4. Design moderne et couleurs élégantes.",0.2625,"mgs_brand=TECHNO,techno_ref=70795,color=ROSE MORANDI","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1,,"sku=1140669839,color=ROSE MORANDI",
1140669838,"PORTE REVUES MARRON MORANDI ""TECHNO"" REF: 70794",ALGERIA,"Le porte-revues MARRON MORANDI est la solution parfaite pour garder votre espace organisé. Compatible avec les documents A4, il permet un rangement vertical pratique et gain de place.
 
 Sa structure solide garantit une bonne stabilité, tandis que son design moderne s’intègre harmonieusement dans tout environnement professionnel ou domestique.
 
 - Adapté aux documents A4
 - Structure robuste
 - Gain de place
 - Idéal pour bureau, bibliothèque ou espace d’étude","Porte-revues MARRON MORANDI, idéal pour organiser magazines, dossiers et documents A4. Design moderne et couleurs élégantes.",0.2625,"mgs_brand=TECHNO,techno_ref=70794,color=MARRON MORANDI","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1,,"sku=1140669838,color=MARRON MORANDI",
1140669837,"PORTE REVUES VERT MORANDI ""TECHNO"" REF: 70793",ALGERIA,"Le porte-revues VERT MORANDI est la solution parfaite pour garder votre espace organisé. Compatible avec les documents A4, il permet un rangement vertical pratique et gain de place.
 
 Sa structure solide garantit une bonne stabilité, tandis que son design moderne s’intègre harmonieusement dans tout environnement professionnel ou domestique.
 
 - Adapté aux documents A4
 - Structure robuste
 - Gain de place
 - Idéal pour bureau, bibliothèque ou espace d’étude","Porte-revues VERT MORANDI, idéal pour organiser magazines, dossiers et documents A4. Design moderne et couleurs élégantes.",0.2625,"mgs_brand=TECHNO,techno_ref=70793,color=VERT MORANDI","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1,,"sku=1140669837,color=VERT MORANDI",
1140669836,"PORTE REVUES GRIS MORANDI ""TECHNO"" REF: 70792",ALGERIA,"Le porte-revues GRIS MORANDI est la solution parfaite pour garder votre espace organisé. Compatible avec les documents A4, il permet un rangement vertical pratique et gain de place.
 
 Sa structure solide garantit une bonne stabilité, tandis que son design moderne s’intègre harmonieusement dans tout environnement professionnel ou domestique.
 
 - Adapté aux documents A4
 - Structure robuste
 - Gain de place
 - Idéal pour bureau, bibliothèque ou espace d’étude","Porte-revues GRIS MORANDI, idéal pour organiser magazines, dossiers et documents A4. Design moderne et couleurs élégantes.",0.2625,"mgs_brand=TECHNO,techno_ref=70792,color=GRIS MORANDI","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1,,"sku=1140669836,color=GRIS MORANDI",
1140669835,"PORTE REVUES BLANC MORANDI ""TECHNO"" REF: 70791",ALGERIA,"Le porte-revues BLANC MORANDI est la solution parfaite pour garder votre espace organisé. Compatible avec les documents A4, il permet un rangement vertical pratique et gain de place.
 
 Sa structure solide garantit une bonne stabilité, tandis que son design moderne s’intègre harmonieusement dans tout environnement professionnel ou domestique.
 
 - Adapté aux documents A4
 - Structure robuste
 - Gain de place
 - Idéal pour bureau, bibliothèque ou espace d’étude","Porte-revues BLANC MORANDI, idéal pour organiser magazines, dossiers et documents A4. Design moderne et couleurs élégantes.",0.2625,"mgs_brand=TECHNO,techno_ref=70791,color=BLANC MORANDI","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1,,"sku=1140669835,color=BLANC MORANDI",
1140669846,"CORBEILLE A COURRIERS EN PLASTIQUE SAUMON MORANDI ""TECHNO"" REF: 70901",ALGERIA,"Corbeille à courriers empilable SAUMON MORANDI permet une organisation optimale de vos papiers au quotidien.
 
 Son système empilable facilite le classement multi-niveaux et maximise l’espace de travail. Fabriqué en plastique résistant, il garantit une longue durée d’utilisation.
 
 - Empilable et modulable
 - Compatible format A4
 - Design moderne et couleurs tendance
 - Idéal pour bureaux professionnels et usage domestique","Corbeille à courriers SAUMON MORANDI, empilable pour organiser vos dossiers et papiers. Solution pratique et élégante pour bureau moderne.",0.2625,"mgs_brand=TECHNO,techno_ref=70901,color=SAUMON MORANDI","Ecriture, Correction & Coloria",simple,Products,base,2,Taxable Goods,search,0,999,1,,"sku=1140669846,color=SAUMON MORANDI",
1140669845,"CORBEILLE A COURRIERS EN PLASTIQUE ROSE MORANDI ""TECHNO"" REF: 70830",ALGERIA,"Corbeille à courriers empilable ROSE MORANDI permet une organisation optimale de vos papiers au quotidien.
 
 Son système empilable facilite le classement multi-niveaux et maximise l’espace de travail. Fabriqué en plastique résistant, il garantit une longue durée d’utilisation.
 
 - Empilable et modulable
 - Compatible format A4
 - Design moderne et couleurs tendance
 - Idéal pour bureaux professionnels et usage domestique","Corbeille à courriers ROSE MORANDI, empilable pour organiser vos dossiers et papiers. Solution pratique et élégante pour bureau moderne.",0.2625,"mgs_brand=TECHNO,techno_ref=70830,color=ROSE MORANDI","Ecriture, Correction & Coloria",simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669845,color=ROSE MORANDI",
1140669844,"CORBEILLE A COURRIERS EN PLASTIQUE MARRON MORANDI ""TECHNO"" REF: 70817",ALGERIA,"Corbeille à courriers empilable MARRON MORANDI permet une organisation optimale de vos papiers au quotidien.
 
 Son système empilable facilite le classement multi-niveaux et maximise l’espace de travail. Fabriqué en plastique résistant, il garantit une longue durée d’utilisation.
 
 - Empilable et modulable
 - Compatible format A4
 - Design moderne et couleurs tendance
 - Idéal pour bureaux professionnels et usage domestique","Corbeille à courriers MARRON MORANDI, empilable pour organiser vos dossiers et papiers. Solution pratique et élégante pour bureau moderne.",0.2625,"mgs_brand=TECHNO,techno_ref=70817,color=MARRON MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669844,color=MARRON MORANDI",
1140669843,"CORBEILLE A COURRIERS EN PLASTIQUE VERT MORANDI ""TECHNO"" REF: 70799",ALGERIA,"Corbeille à courriers empilable VERT MORANDI permet une organisation optimale de vos papiers au quotidien.
 
 Son système empilable facilite le classement multi-niveaux et maximise l’espace de travail. Fabriqué en plastique résistant, il garantit une longue durée d’utilisation.
 
 - Empilable et modulable
 - Compatible format A4
 - Design moderne et couleurs tendance
 - Idéal pour bureaux professionnels et usage domestique","Corbeille à courriers VERT MORANDI, empilable pour organiser vos dossiers et papiers. Solution pratique et élégante pour bureau moderne.",0.2625,"mgs_brand=TECHNO,techno_ref=70799,color=VERT MORANDI",,simple,,base,2,Taxable Goods,search,0,999,1,,"sku=1140669843,color=VERT MORANDI",
