sku,Image Name,ref,attribute_set_code,product_type,product_websites,country_of_manufacture,name,description,short_description,weight,product_online,tax_class_name,visibility,price,additional_attributes,qty,is_in_stock,categories
1140663714,crayons-de-couleur-classic-pastel-boite-x10,111211,Products,simple,base,Indonesia,"CRAYONS DE COULEUR CLASSIC PASTEL BOITE X10 ""FABER CASTELL"" REF:111211","Le crayon 1112 est un instrument d'écriture et de dessin de haute qualité, conçu pour la performance et la durabilité.
 Il est idéal pour l'écriture, le dessin et l'esquisse, offrant une expérience fluide et précise.
 Son corps distinctif, revêtu d'une peinture noire à base d'eau respectueuse de l'environnement, le rend non seulement élégant, mais aussi confortable à tenir. Sa mine, d'une dureté HB, est particulièrement résistante à la casse grâce à un procédé de collage spécial (SV), garantissant une fiabilité durable.
 De plus, il est équipé d'une gomme intégrée, ce qui en fait un outil pratique et complet pour tous vos besoins créatifs.","Le crayon 1112 est un outil polyvalent de haute qualité, idéal pour écrire, dessiner et esquisser.
 Son corps noir est recouvert d'une peinture écologique à base d'eau et sa mine résistante à la casse est dotée d'une gomme pratique",70,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=111211",999,1,
1140663711,crayons-de-couleur-classic-boite-de-60-pcs,111260,Products,simple,base,Indonesia,"CRAYONS DE COULEUR CLASSIC BOITE DE 60 PCS ""FABER CASTELL"" REF:111260","Découvrez un assortiment de 60 crayons de couleur exceptionnels, présentés dans un étui cartonné pratique qui se transforme en support.
 Cet ensemble offre une palette de couleurs complète, incluant des teintes néon, métalliques et pastel pour donner vie à toutes vos créations.
 Les crayons, de forme hexagonale classique, sont conçus pour une prise en main confortable.
 Leur mine est extrêmement résistante à la casse grâce à un procédé de collage spécial (SV), ce qui assure une longue durée de vie et une utilisation sans interruption.
 De plus, le bois utilisé provient de forêts certifiées, garantissant une fabrication respectueuse de l'environnement.","Cet étui de 60 crayons de couleur offre une variété exceptionnelle de teintes, y compris des couleurs néon, métalliques et pastel.
 La forme hexagonale et la mine, très résistante à la casse, garantissent confort et durabilité.",400,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=111260",999,1,
1140663691,crayons-graphite-eleganz-hb,111400,Products,simple,base,Indonesia,"CRAYONS GRAPHITE ELEGANZ HB ""FABER CASTELL"" REF:111400","Le crayon graphite FABER CASTELL 111400 est l'outil parfait pour l'écriture et le dessin précis.
 Sa mine HB de 2,0 mm de diamètre offre un tracé fiable et régulier.
 Il se distingue par son design moderne et élégant, avec une finition métallique cuivrée et bleue.
 Très pratique, il est muni d'une gomme de haute qualité à son extrémité, ce qui en fait un instrument à la fois fonctionnel et stylé.","Idéal pour l'écriture et le dessin, le crayon graphite FABER CASTELL 111400 est doté d'une mine HB de 2,0 mm de diamètre.
 Il est reconnaissable à sa finition élégante en bleu et cuivre métallisé et inclut une gomme à son extrémité.",75,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=111400",999,1,
1140663685,crayons-graphite-dessin-2001-hb,112100,Products,simple,base,Indonesia,"CRAYONS GRAPHITE DESSIN 2001 HB ""FABER CASTELL"" REF:112100","Le crayon graphite Dessin® 2001 est un outil de haute qualité, parfait pour toutes vos activités d'écriture, de dessin et d'esquisse.
 Sa mine d'une dureté HB offre une performance fiable et un tracé précis.
 Grâce à un procédé de collage spécial (SV), elle est particulièrement résistante à la casse, ce qui garantit une durabilité exceptionnelle.
 Son corps se démarque par une finition élégante en rouge et or.
 Il intègre également une gomme à son extrémité, ce qui en fait un instrument à la fois pratique et esthétique.","Idéal pour l'écriture, le dessin et l'esquisse, le crayon graphite Dessin® est doté d'une mine HB très résistante à la casse.
 Son design se distingue par un corps élégant en rouge et or, et il est équipé d'une gomme pratique",75,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=112100",999,1,
1140663692,crayons-de-couleur-parrot-aquarel-boite-x12,114462,Products,simple,base,Indonesia,"CRAYONS DE COULEUR PARROT AQUAREL BOITE x12 ""FABER CASTELL"" REF:114462","Le coffret de 12 crayons de couleur aquarellables est parfait pour donner une nouvelle dimension à vos créations.
 Chaque crayon, de forme hexagonale pour une prise en main confortable, contient une mine douce et riche en pigments qui se transforme en aquarelle au contact d'un pinceau humide.
 Cette fonctionnalité permet de créer des dégradés uniques et des designs originaux.
 Le kit contient tout le nécessaire pour démarrer : 12 crayons aquarellables, un pinceau et un taille-crayon. Les mines de 3,3 mm, ultra-résistantes à la casse grâce au procédé de collage spécial (SV), réduisent le temps de taille et augmentent la durabilité.
 Pour une tranquillité d'esprit, la peinture se lave facilement de la plupart des tissus.
 De plus, ces crayons sont non-toxiques, sûrs pour les enfants et fabriqués en bois certifié FSC issu de forêts gérées durablement.","Ce coffret de 12 crayons de couleur aquarellables offre une créativité unique.
 Ses mines se transforment en magnifiques aquarelles au contact de l'eau, et les crayons, fabriqués en bois certifié FSC, sont conçus pour être durables et confortables.",90,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=114462",999,1,
1140663693,crayons-de-couleur-parrot-aquarel-boite-x24,114464,Products,simple,base,Indonesia,"CRAYONS DE COULEUR PARROT AQUAREL BOITE x24 ""FABER CASTELL"" REF:114464","Le coffret de 24 crayons de couleur aquarellables est parfait pour donner une nouvelle dimension à vos créations.
 Chaque crayon, de forme hexagonale pour une prise en main confortable, contient une mine douce et riche en pigments qui se transforme en aquarelle au contact d'un pinceau humide.
 Cette fonctionnalité permet de créer des dégradés uniques et des designs originaux.
 Le kit contient tout le nécessaire pour démarrer : 24 crayons aquarellables, un pinceau et un taille-crayon. Les mines de 3,3 mm, ultra-résistantes à la casse grâce au procédé de collage spécial (SV), réduisent le temps de taille et augmentent la durabilité.
 Pour une tranquillité d'esprit, la peinture se lave facilement de la plupart des tissus.
 De plus, ces crayons sont non-toxiques, sûrs pour les enfants et fabriqués en bois certifié FSC issu de forêts gérées durablement.","Ce coffret de 24 crayons de couleur aquarellables offre une créativité unique.
 Ses mines se transforment en magnifiques aquarelles au contact de l'eau, et les crayons, fabriqués en bois certifié FSC, sont conçus pour être durables et confortables.",170,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=114464",999,1,
1140663694,crayons-de-couleur-parrot-aquarel-boite-x36,114466,Products,simple,base,Indonesia,"CRAYONS DE COULEUR PARROT AQUAREL BOITE x36 ""FABER CASTELL"" REF:114466","Le coffret de 36 crayons de couleur aquarellables est parfait pour donner une nouvelle dimension à vos créations.
 Chaque crayon, de forme hexagonale pour une prise en main confortable, contient une mine douce et riche en pigments qui se transforme en aquarelle au contact d'un pinceau humide.
 Cette fonctionnalité permet de créer des dégradés uniques et des designs originaux.
 Le kit contient tout le nécessaire pour démarrer : 36 crayons aquarellables, un pinceau et un taille-crayon. Les mines de 3,3 mm, ultra-résistantes à la casse grâce au procédé de collage spécial (SV), réduisent le temps de taille et augmentent la durabilité.
 Pour une tranquillité d'esprit, la peinture se lave facilement de la plupart des tissus.
 De plus, ces crayons sont non-toxiques, sûrs pour les enfants et fabriqués en bois certifié FSC issu de forêts gérées durablement.","Ce coffret de 36 crayons de couleur aquarellables offre une créativité unique.
 Ses mines se transforment en magnifiques aquarelles au contact de l'eau, et les crayons, fabriqués en bois certifié FSC, sont conçus pour être durables et confortables.",250,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=114466",999,1,
1140663695,crayons-de-couleur-parrot-aquarel-boite-x48,114468,Products,simple,base,Indonesia,"CRAYONS DE COULEUR PARROT AQUAREL BOITE x48 ""FABER CASTELL"" REF:114468","Le coffret de 48 crayons de couleur aquarellables est parfait pour donner une nouvelle dimension à vos créations.
 Chaque crayon, de forme hexagonale pour une prise en main confortable, contient une mine douce et riche en pigments qui se transforme en aquarelle au contact d'un pinceau humide.
 Cette fonctionnalité permet de créer des dégradés uniques et des designs originaux.
 Le kit contient tout le nécessaire pour démarrer : 48 crayons aquarellables, un pinceau et un taille-crayon. Les mines de 3,3 mm, ultra-résistantes à la casse grâce au procédé de collage spécial (SV), réduisent le temps de taille et augmentent la durabilité.
 Pour une tranquillité d'esprit, la peinture se lave facilement de la plupart des tissus.
 De plus, ces crayons sont non-toxiques, sûrs pour les enfants et fabriqués en bois certifié FSC issu de forêts gérées durablement","Ce coffret de 48 crayons de couleur aquarellables offre une créativité unique.
 Ses mines se transforment en magnifiques aquarelles au contact de l'eau, et les crayons, fabriqués en bois certifié FSC, sont conçus pour être durables et confortables.",330,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=114468",999,1,
1140663715,crayons-de-couleur-classic-metalic-couleur-x05,114611,Products,simple,base,Indonesia,"CRAYONS DE COULEUR CLASSIC METALIC COULEUR X05 ""FABER CASTELL"" REF:114611","Ce pack de 5 crayons de couleur métalliques est idéal pour apporter une touche scintillante à vos dessins.
 Ces crayons, de forme hexagonale pour une prise en main confortable, sont conçus pour offrir un maximum de brillance, en particulier sur le papier de couleur foncée.
 Les mines de 3,3 mm, riches et douces, couvrent de grandes surfaces avec des couleurs éclatantes et sont extrêmement résistantes à la casse grâce au procédé de collage spécial (SV), ce qui prolonge leur durée de vie.
 Fabriqués en bois certifié FSC issu de forêts durables, ils sont non toxiques et sans danger pour les enfants.
 Un espace est également prévu sur chaque crayon pour y inscrire votre nom.","Découvrez le pack de 5 crayons de couleur métalliques, parfaits pour ajouter de l'éclat à vos créations.
 Leurs mines, très résistantes à la casse, délivrent des couleurs intenses, notamment sur le papier foncé.",40,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=114611",999,1,
1140663678,crayons-de-couleur-naturals-boite-de-12-pcs,115012,Products,simple,base,Indonesia,"CRAYONS DE COULEUR NATURALS BOITE DE 12 PCS ""FABER CASTELL"" REF:115012","Découvrez les crayons de couleur FABER CASTELL ""Naturals"", un produit de haute qualité conçu pour le plaisir du dessin.
 Ce pack de 12 crayons combine des couleurs vives et un design ergonomique, avec un corps hexagonal en bois certifié FSC pour une prise en main confortable qui empêche les crayons de rouler.
 La mine de 2,9 mm est douce et riche en pigments, permettant de couvrir facilement de grandes surfaces.
 Grâce à un procédé de collage spécial (SV), la mine est aussi particulièrement résistante à la casse, ce qui réduit le temps de taille.
 Soucieux de l'environnement, le produit est livré dans un emballage 100% en carton recyclé, et son transport est entièrement exempt de plastique.
 Sans plastique, non toxiques et sûrs pour les enfants, ces crayons sont une option responsable et durable.
 Ils sont disponibles en plusieurs assortiments, jusqu'à 24 couleurs.","Crayons de couleur FABER CASTELL ""Naturals"" de haute qualité, en bois certifié FSC et dans un emballage 100% recyclé.
 Leur forme hexagonale ergonomique et leur mine très résistante à la casse rendent le dessin agréable.",80,2,Taxable Goods,search,0,"mgs_brand=FABER CASTELL,techno_ref=115012",999,1,
