entity_id,sku,type_id,attribute_set_id,created_at,updated_at,a_la_une,am_allow_open_amount,am_available_for_wrapping,am_email_template,am_giftcard_code_image,am_giftcard_code_set,am_giftcard_fee_enable,am_giftcard_fee_type,am_giftcard_fee_value,am_giftcard_lifetime,am_giftcard_prices,am_giftcard_type,am_giftcard_usage,am_offer_item_condition,am_open_amount_max,am_open_amount_min,am_shipping_type,amasty_conf_flipper_image,amasty_conf_matrix,amasty_preorder_cart_label,amasty_preorder_note,amrolepermissions_owner,amtoolkit_canonical,amtoolkit_robots,amxnotif_hide_alert,best_seller,capacity,category_ids,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout,custom_layout_update,custom_layout_update_file,custom_stock_status,description,diameter,dimension,en_promo,format,gallery,gender_product,gift_message_available,has_options,hide_quote_buy_button,image,image_label,links_exist,links_purchased_separately,links_title,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,mgs_brand,minimal_price,mptablerate_shipping_group,msrp,msrp_display_actual_price_type,mwishlist_sku,name,news_from_date,news_to_date,old_id,options_container,page_layout,pattern,price,price_type,price_view,quantity_and_stock_status,quickorder_sku,required_options,rma_allowed,samples_title,shipment_type,short_description,simple_preselect,size,sku,sku_type,sm_degree_height,sm_degree_index,sm_degree_path,sm_degree_width,sm_featured,sm_hoverimage,sm_sizechart,small_image,small_image_label,special_from_date,special_price,special_to_date,status,swatch_image,tax_class_id,techno_ref,thickness,thumb_ar_image,thumb_degree_image,thumbnail,thumbnail_label,tier_price,trending,type,updated_at,url_key,url_path,visibility,weight,weight_type
1,206,simple,23,"0000-00-00 00:00:00","2026-01-21 14:28:10",0,,0,,,,,,,,,,,1,,,0,,,,,0,,default,0,0,,,167,,TR,,,,,,,,,"palette penture en pastique lavable et reutilisable avec un meilleur rapport qualité prix 
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.",,,,,,,0,,0,/p/a/palette-de-peinture-aquarelel-rouge-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL ROUGE ""ARK"" REF: 313",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,AQUARELEL,ROUGE,ARK,313","PALETTE DE PEINTURE AQUARELEL ROUGE ""ARK"" REF: 313",384,,,,0,,"PALETTE DE PEINTURE AQUARELEL ROUGE ""ARK"" REF: 313",,,,container2,,,850.000000,,,1,,,1,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,0,,,/p/a/palette-de-peinture-aquarelel-rouge-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL ROUGE ""ARK"" REF: 313",,,,1,/p/a/palette-de-peinture-aquarelel-rouge-ark-ref-313-0.jpg,2,313,,,,/p/a/palette-de-peinture-aquarelel-rouge-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL ROUGE ""ARK"" REF: 313",,0,,,palette-de-peinture-aquarelel-rouge-ark-ref-313,,4,0.045000,
2,168,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,16,,TR,,,,,,,,,"palette penture en pastique lavable et reutilisable avec un meilleur rapport qualité prix 
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.",,,,,,,0,,,/p/a/palette-de-peinture-aquarelel-bleu-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL BLEU ""ARK"" REF: 313",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,AQUARELEL,BLEU,ARK,313","PALETTE DE PEINTURE AQUARELEL BLEU ""ARK"" REF: 313",384,,,,0,,"PALETTE DE PEINTURE AQUARELEL BLEU ""ARK"" REF: 313",,,,container2,,,120.000000,,,1,,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,,,,/p/a/palette-de-peinture-aquarelel-bleu-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL BLEU ""ARK"" REF: 313",,,,1,/p/a/palette-de-peinture-aquarelel-bleu-ark-ref-313-0.jpg,2,313,,,,/p/a/palette-de-peinture-aquarelel-bleu-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL BLEU ""ARK"" REF: 313",,0,,,palette-de-peinture-aquarelel-bleu-ark-ref-313,,4,0.045000,
3,151,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,0,,,,,,,,,,,1,,,,,,,,0,,default,0,0,,,197,,TR,,,,,,,,,"palette penture en pastique lavable et reutilisable avec un meilleur rapport qualité prix 
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.",,,,,,,0,,0,/p/a/palette-de-peinture-aquarelel-vert-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL VERT ""ARK"" REF: 313",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,AQUARELEL,VERT,ARK,313","PALETTE DE PEINTURE AQUARELEL VERT ""ARK"" REF: 313",384,,,,0,,"PALETTE DE PEINTURE AQUARELEL VERT ""ARK"" REF: 313",,,,container2,,,120.000000,,,1,,,1,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,0,,,/p/a/palette-de-peinture-aquarelel-vert-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL VERT ""ARK"" REF: 313",,,,1,/p/a/palette-de-peinture-aquarelel-vert-ark-ref-313-0.jpg,2,313,,,,/p/a/palette-de-peinture-aquarelel-vert-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL VERT ""ARK"" REF: 313",,0,,,palette-de-peinture-aquarelel-vert-ark-ref-313,,4,0.045000,
4,132,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,88,,TR,,,,,,,,,"palette penture en pastique lavable et reutilisable avec un meilleur rapport qualité prix 
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.",,,,,,,0,,,/p/a/palette-de-peinture-aquarelel-jaune-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL JAUNE ""ARK"" REF: 313",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,AQUARELEL,JAUNE,ARK,313","PALETTE DE PEINTURE AQUARELEL JAUNE ""ARK"" REF: 313",384,,,,0,,"PALETTE DE PEINTURE AQUARELEL JAUNE ""ARK"" REF: 313",,,,container2,,,120.000000,,,1,,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,,,,/p/a/palette-de-peinture-aquarelel-jaune-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL JAUNE ""ARK"" REF: 313",,,,1,/p/a/palette-de-peinture-aquarelel-jaune-ark-ref-313-0.jpg,2,313,,,,/p/a/palette-de-peinture-aquarelel-jaune-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL JAUNE ""ARK"" REF: 313",,0,,,palette-de-peinture-aquarelel-jaune-ark-ref-313,,4,0.045000,
5,19,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,153,,TR,,,,,,,,,"palette penture en pastique lavable et reutilisable avec un meilleur rapport qualité prix 
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.",,,,,,,0,,,/p/a/palette-de-peinture-aquarelel-rose-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL ROSE ""ARK"" REF: 313",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,AQUARELEL,ROSE,ARK,313","PALETTE DE PEINTURE AQUARELEL ROSE ""ARK"" REF: 313",384,,,,0,,"PALETTE DE PEINTURE AQUARELEL ROSE ""ARK"" REF: 313",,,,container2,,,120.000000,,,1,,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,,,,/p/a/palette-de-peinture-aquarelel-rose-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL ROSE ""ARK"" REF: 313",,,,1,/p/a/palette-de-peinture-aquarelel-rose-ark-ref-313-0.jpg,2,313,,,,/p/a/palette-de-peinture-aquarelel-rose-ark-ref-313-0.jpg,"PALETTE DE PEINTURE AQUARELEL ROSE ""ARK"" REF: 313",,0,,,palette-de-peinture-aquarelel-rose-ark-ref-313,,4,0.045000,
6,335,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,0,,,,,,,,,,,1,,,,,,,,0,,default,0,0,,,16,,TR,,,,,,,,,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">Palette peinture ARK ELLIPSE TRANSPARENT en plastique Multi couleurs, lavable et reutilisable, idial pour les écoliers les amateurs, utile pour faire des mélanges couleurs et des travaux artistique parfait, proposé avec un meilleur rapport qualité prix c'est dans l'esprit des clients, fabriqué en Turquie.
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.</div>",,,,,,,0,,0,/p/a/palette-de-peinture-ellipse-transparente-bleu-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE BLEU ""ARK"" REF: 380T",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,ELLIPSE,TRANSPARENTE,BLEU,ARK,380T","PALETTE DE PEINTURE ELLIPSE TRANSPARENTE BLEU ""ARK"" REF: 380T",384,,,,0,,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE BLEU ""ARK"" REF: 380T",,,,container2,,,170.000000,,,1,,,1,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,0,,,/p/a/palette-de-peinture-ellipse-transparente-bleu-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE BLEU ""ARK"" REF: 380T",,,,1,/p/a/palette-de-peinture-ellipse-transparente-bleu-ark-ref-380t-0.jpg,2,380T,,,,/p/a/palette-de-peinture-ellipse-transparente-bleu-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE BLEU ""ARK"" REF: 380T",,0,,,palette-de-peinture-ellipse-transparente-bleu-ark-ref-380t,,4,0.116000,
7,325,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,0,,,,,,,,,,,1,,,,,,,,0,,default,0,0,,,88,,TR,,,,,,,,,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">Palette peinture ARK ELLIPSE TRANSPARENT en plastique Multi couleurs, lavable et reutilisable, idial pour les écoliers les amateurs, utile pour faire des mélanges couleurs et des travaux artistique parfait, proposé avec un meilleur rapport qualité prix c'est dans l'esprit des clients, fabriqué en Turquie.
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.</div>",,,,,,,0,,0,/p/a/palette-de-peinture-ellipse-transparente-jaune-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE JAUNE ""ARK"" REF: 380T",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,ELLIPSE,TRANSPARENTE,JAUNE,ARK,380T","PALETTE DE PEINTURE ELLIPSE TRANSPARENTE JAUNE ""ARK"" REF: 380T",384,,,,0,,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE JAUNE ""ARK"" REF: 380T",,,,container2,,,170.000000,,,1,,,1,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,0,,,/p/a/palette-de-peinture-ellipse-transparente-jaune-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE JAUNE ""ARK"" REF: 380T",,,,1,/p/a/palette-de-peinture-ellipse-transparente-jaune-ark-ref-380t-0.jpg,2,380T,,,,/p/a/palette-de-peinture-ellipse-transparente-jaune-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE JAUNE ""ARK"" REF: 380T",,0,,,palette-de-peinture-ellipse-transparente-jaune-ark-ref-380t,,4,0.116000,
8,317,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,0,,,,,,,,,,,1,,,,,,,,0,,default,0,0,,,197,,TR,,,,,,,,,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">Palette peinture ARK ELLIPSE TRANSPARENT en plastique Multi couleurs, lavable et reutilisable, idial pour les écoliers les amateurs, utile pour faire des mélanges couleurs et des travaux artistique parfait, proposé avec un meilleur rapport qualité prix c'est dans l'esprit des clients, fabriqué en Turquie.
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.</div>",,,,,,,0,,0,/p/a/palette-de-peinture-ellipse-transparente-vert-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE VERT ""ARK"" REF: 380T",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,ELLIPSE,TRANSPARENTE,VERT,ARK,380T","PALETTE DE PEINTURE ELLIPSE TRANSPARENTE VERT ""ARK"" REF: 380T",384,,,,0,,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE VERT ""ARK"" REF: 380T",,,,container2,,,170.000000,,,1,,,1,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,0,,,/p/a/palette-de-peinture-ellipse-transparente-vert-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE VERT ""ARK"" REF: 380T",,,,1,/p/a/palette-de-peinture-ellipse-transparente-vert-ark-ref-380t-0.jpg,2,380T,,,,/p/a/palette-de-peinture-ellipse-transparente-vert-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE VERT ""ARK"" REF: 380T",,0,,,palette-de-peinture-ellipse-transparente-vert-ark-ref-380t,,4,0.116000,
9,308,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,0,,,,,,,,,,,1,,,,,,,,0,,default,0,0,,,167,,TR,,,,,,,,,"<div data-content-type=""html"" data-appearance=""default"" data-element=""main"">Palette peinture ARK ELLIPSE TRANSPARENT en plastique Multi couleurs, lavable et reutilisable, idial pour les écoliers les amateurs, utile pour faire des mélanges couleurs et des travaux artistique parfait, proposé avec un meilleur rapport qualité prix c'est dans l'esprit des clients, fabriqué en Turquie.
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.</div>",,,,,,,0,,0,/p/a/palette-de-peinture-ellipse-transparente-rouge-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE ROUGE ""ARK"" REF: 380T",,,,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER","PALETTE,PEINTURE,ELLIPSE,TRANSPARENTE,ROUGE,ARK,380T","PALETTE DE PEINTURE ELLIPSE TRANSPARENTE ROUGE ""ARK"" REF: 380T",384,,,,0,,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE ROUGE ""ARK"" REF: 380T",,,,container2,,,170.000000,,,1,,,1,,,"UNE GAMME DE PRODUIT DE QUALITÉ ET DURABILITÉ, QUI VOUS PERMET DE MIEUX S'ORGANISER",,,,,,,,,0,,,/p/a/palette-de-peinture-ellipse-transparente-rouge-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE ROUGE ""ARK"" REF: 380T",,,,1,/p/a/palette-de-peinture-ellipse-transparente-rouge-ark-ref-380t-0.jpg,2,380T,,,,/p/a/palette-de-peinture-ellipse-transparente-rouge-ark-ref-380t-0.jpg,"PALETTE DE PEINTURE ELLIPSE TRANSPARENTE ROUGE ""ARK"" REF: 380T",,0,,,palette-de-peinture-ellipse-transparente-rouge-ark-ref-380t,,4,0.116000,
10,293,simple,23,"2021-04-18 15:30:55","2026-01-21 14:28:10",0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,167,,TR,,,,,,,,,"compas ARK écolier qui vous permetre de faire un traçage facile, rapide, en un seul mouvement. avec un meilleur rapport qualité prix 
 
 En cas de non disponibilité de la variante sélectionnée (couleur ou motif ...) une autre variante (couleur ou motif ...) de la même référence vous sera livrée.",,,,,,,0,,,/c/o/compas-bague-ecolier-opaque-a-crayon-rouge-ark-ref-248-0.jpg,"COMPAS BAGUE ECOLIER OPAQUE A CRAYON ROUGE ""ARK"" REF: 248",,,,,,"traçage facile, rapide, en un seul mouvement.très bon rapport qualité prix","COMPAS,BAGUE,ECOLIER,OPAQUE,CRAYON,ROUGE,ARK,248","COMPAS BAGUE ECOLIER OPAQUE A CRAYON ROUGE ""ARK"" REF: 248",384,,,,0,,"COMPAS BAGUE ECOLIER OPAQUE A CRAYON ROUGE ""ARK"" REF: 248",,,,container2,,,100.000000,,,1,,,,,,"traçage facile, rapide, en un seul mouvement.très bon rapport qualité prix",,,,,,,,,,,,/c/o/compas-bague-ecolier-opaque-a-crayon-rouge-ark-ref-248-0.jpg,"COMPAS BAGUE ECOLIER OPAQUE A CRAYON ROUGE ""ARK"" REF: 248",,,,1,/c/o/compas-bague-ecolier-opaque-a-crayon-rouge-ark-ref-248-0.jpg,2,248,,,,/c/o/compas-bague-ecolier-opaque-a-crayon-rouge-ark-ref-248-0.jpg,"COMPAS BAGUE ECOLIER OPAQUE A CRAYON ROUGE ""ARK"" REF: 248",,0,,,compas-bague-ecolier-opaque-a-crayon-rouge-ark-ref-248,,4,0.040000,
