wilaya_id,wilaya_name,home_price,stopdesk_price
1,ADRAR,950,700
2,Chlef,750,450
3,LAGHOUAT,500,400
4,OUM-EL-BOUAGHI,750,450
5,BATNA,500,400
6,BEJAIA,500,450
7,BISKRA,800,500
8,BECHAR,950,700
9,BLIDA,500,400
10,BOUIRA,750,450
12,TEBESSA,800,500
13,TLEMCEN,750,450
14,TIARET,500,400
15,TIZI-OUZOU,600,450
16,ALGER,500,400
17,DJELFA,500,400
18,JIJEL,750,450
19,SETIF,500,400
20,SAIDA,750,450
21,SKIKDA,750,450
22,SIDI BELABES,500,400
23,ANNABA,500,400
24,GUELMA,750,450
25,CONSTANTINE,500,400
26,MEDEA,750,450
27,MOSTAGANEM,500,400
28,M'SILA,750,450
29,MASCARA,750,450
30,OUARGLA,900,400
31,ORAN,500,400
32,EL-BAYADH,800,500
34,B.B.ARRERIDJ,500,400
35,BOUMERDAS,500,400
36,EL-TAREF,750,450
38,TISSEMSILT,600,450
39,EL-OUED,800,500
40,KHENCHELA,750,450
41,SOUK-AHRAS,900,500
42,TIPAZA,750,450
43,MILA,750,450
44,AIN-DEFLA,900,500
45,NAAMA,900,500
46,AIN-TEMOUCHENT,600,450
47,GHARDAIA,500,400
48,RELIZANE,750,450
37,TINDOUF,1600,1300
11,TAMANRASSET,1600,1000
33,ILIZI,1600,1300
49,TIMIMOUN,950,950
50,BORDJ-BADJI-MOKHTAR,1600,1600
51,OULED-DJELLAL,800,800
52,BENI-ABBES,950,950
53,IN-SALAH,1600,1600
54,IN-GUEZZAM,1600,1600
55,TOUGGOURT,800,800
56,DJANET,1600,1600
57,EL-MGHAIR,800,800
58,EL-MENIA,900,900
